Nome,Marca,Preço Original,Preço com Desconto,Percentual de Desconto,Link
Samsung Galaxy A15 4G Dual SIM 128 GB Azul escuro 4 GB RAM,Samsung,1199.0,839.0,30.03,https://www.mercadolivre.com.br/samsung-galaxy-a15-4g-dual-sim-128-gb-azul-escuro-4-gb-ram/p/MLB32175033?pdp_filters=deal:MLB779535-1&hide_psmb=true#promotion_type=TODAY_PROMOTION&searchVariation=MLB32175033&deal_print_id=28e09512-8133-4252-86b5-8c47d0031ed0&position=10&search_layout=grid&type=product&tracking_id=c99989a7-0329-4349-bde2-f9044f673fff&deal_print_id=2dbffc53-63d3-4f3c-9006-7e2d401d5cba&promotion_type=TODAY_PROMOTION
Samsung Galaxy A70 128gb (recondicionado),Samsung,849.99,747.0,12.12,https://produto.mercadolivre.com.br/MLB-3290567537-samsung-galaxy-a70-128gb-recondicionado-_JM?hide_psmb=true#promotion_type=TODAY_PROMOTION&deal_print_id=2bace159-abc2-4b4f-9a6b-bf16d6db6f41&position=36&search_layout=grid&type=item&tracking_id=7154e672-f618-47b6-aa8e-ce46994dc123&deal_print_id=5061aa91-16b0-474b-868f-bd4ff89ec219&promotion_type=TODAY_PROMOTION
Samsung Galaxy S8 64gb 4gb Ram Sm-g950f | Usado Bom,Samsung,799.0,703.0,12.02,https://produto.mercadolivre.com.br/MLB-4755658234-samsung-galaxy-s8-64gb-4gb-ram-sm-g950f-usado-bom-_JM?hide_psmb=true#promotion_type=TODAY_PROMOTION&deal_print_id=2bace159-abc2-4b4f-9a6b-bf16d6db6f41&position=34&search_layout=grid&type=item&tracking_id=7154e672-f618-47b6-aa8e-ce46994dc123&deal_print_id=5061aa91-16b0-474b-868f-bd4ff89ec219&promotion_type=TODAY_PROMOTION
"Samsung A127m Galaxy A12 64gb 4gb Ram Tela 6,5 | Usado Bom",Samsung,699.0,615.0,12.02,https://produto.mercadolivre.com.br/MLB-4755536264-samsung-a127m-galaxy-a12-64gb-4gb-ram-tela-65-usado-bom-_JM?hide_psmb=true#promotion_type=TODAY_PROMOTION&deal_print_id=2bace159-abc2-4b4f-9a6b-bf16d6db6f41&position=33&search_layout=grid&type=item&tracking_id=7154e672-f618-47b6-aa8e-ce46994dc123&deal_print_id=5061aa91-16b0-474b-868f-bd4ff89ec219&promotion_type=TODAY_PROMOTION
Samsung Galaxy A13 128gb 4gb Ram Tela 6.6'' 50mp+5mp+2mp+2mp,Samsung,999.54,900.0,9.96,https://produto.mercadolivre.com.br/MLB-3630253283-samsung-galaxy-a13-128gb-4gb-ram-tela-66-50mp5mp2mp2mp-_JM?hide_psmb=true#promotion_type=TODAY_PROMOTION&deal_print_id=2bace159-abc2-4b4f-9a6b-bf16d6db6f41&position=30&search_layout=grid&type=item&tracking_id=7154e672-f618-47b6-aa8e-ce46994dc123&deal_print_id=5061aa91-16b0-474b-868f-bd4ff89ec219&promotion_type=TODAY_PROMOTION
Celular Samsung Galaxy J5 16gb Dourado Seminovo Nota Fiscal,Samsung,449.0,404.0,10.02,https://produto.mercadolivre.com.br/MLB-2041477822-celular-samsung-galaxy-j5-16gb-dourado-seminovo-nota-fiscal-_JM?hide_psmb=true#promotion_type=TODAY_PROMOTION&deal_print_id=2bace159-abc2-4b4f-9a6b-bf16d6db6f41&position=28&search_layout=grid&type=item&tracking_id=7154e672-f618-47b6-aa8e-ce46994dc123&deal_print_id=5061aa91-16b0-474b-868f-bd4ff89ec219&promotion_type=TODAY_PROMOTION
Smartphone Samsung Galaxy A11 64gb 3gb Ram Preto | Usado Bom,Samsung,579.0,521.0,10.02,https://produto.mercadolivre.com.br/MLB-3634871173-smartphone-samsung-galaxy-a11-64gb-3gb-ram-preto-usado-bom-_JM?hide_psmb=true#promotion_type=TODAY_PROMOTION&deal_print_id=2bace159-abc2-4b4f-9a6b-bf16d6db6f41&position=24&search_layout=grid&type=item&tracking_id=7154e672-f618-47b6-aa8e-ce46994dc123&deal_print_id=5061aa91-16b0-474b-868f-bd4ff89ec219&promotion_type=TODAY_PROMOTION
"Celular Samsung Galaxy S24, Galaxy Ai, Câmera Tripla Traseira De Até 50mp, Selfie De 12mp, Tela De 6.2  1-120hz, 256gb, 8gb De Ram, Esim Cinza",Samsung,6499.0,4459.0,31.39,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=G1JvqKqmpPHexjus%2BUg4qfAsRTkm44hAhIFrdcTsSKyXkNx9VqR64PTTjr%2FGFHlVTFfTZnjAtlL9UWHQi8t9p%2FjCqEqHpwtJ24L8GTcV4knJtQnPlcKBBONrL79AZY8jIhC3Ce8u42zWGYEY6zs2kToSPo6YcOt%2FcgNXL%2BA3cmzAbpI38afMotjmdSm2V0W7%2FO3p70tdhp0lEgNzk9p5zSSMUnjIxGBFq9lCgqNb3W3orTZCsXSsYncRmjQPU8Eh245fRPw0RC%2BuMzFQtcVOJ92vTcJsMLya52kjrVPEGaM2sXtfYzZPug5kURs1Y%2FUc7tl5a%2FhADNRC%2Bve2tVimu%2Bvj6LCChETyOG7dRyAKJCbx6WWAjBHBKdl1KbyHrGaxjTgx%2BeLlWTqTQpl%2FnS9%2BUuSzgStbaiG7r7jPggKL%2FtoZNhlcrSVasT%2BMDliCpwvwubRYS4QWtI9gAM%2FOqMNRmkB25FD2xXC%2BL9Ist9RC%2FxenIF%2FIOvyV5BWd7oYBWRZQeJN%2BN76ma73KbCE%2Fn%2BZ26Yjg0N01xRUSDpDh539tQgfcxCvpsCulm%2FUwsM9baZm%2FfmOo50fTik0dAVXUqexiuhIiWmpOsDifTTOeaeKQpWHWd0vNKXW1E2qECe0ixWyKLd5qQcH8mJANkry%2F3wqR%2BAJ1G4Iu%2FM2WnIk%2F2wMckOrwESjdNR%2BGRPozJMM8hWkmHxYVse7bMt4SLslIok%2BUYjzpal7cfNnDFvRBTL2QqfbUcPAlC4swYApzz606%2BWayZHBqg8aHKT1xjxo3QWrqPEISulA6HLo7tkU6YXDIcnOlFw60WSo4pU1zuUd1fkUEwqmSWQs8Le7IDyPp19id%2BednAKMJEY4N%2Fo%2Bfx%2BNaW1khmYs57YhpDUk8VXNiq6WXl62oB%2FS%2FjZB%2BswlsIHO9Xqcx9NejcT50JY0gS0BID7J6nfoggRwMLPb9mUptgBKep4U6YV7ndm1JDs%2BQerKlgn%2BNks99AspbPHdmqa1vuJ5JsXW7FLnop%2Bl%2FrYL1sySWnbWX4RVF4XnAhw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fmax-bid-item-factor%2B23928%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fpads-score-mla%2B17263%2Cmclics%2Flax-top-domain%2B23443&rb=x
"Celular Samsung Galaxy M35 5g , Câmera Tripla Até 50mp, Selfie 50mp, Tela Super Amoled + 6.6 120hz, 256gb, 8gb Ram - Cinza",Samsung,1887.78,1666.0,11.75,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=SHFgpDXAa%2Bw925t41oLlMa4hs8HZkUT7jchqWJ6Fx6fnezl20BTmdTqmI33TLVMf22SMCTJRW92dZQwF3DnyuFS3LKr6KQETGi9w5Sye2wTB91BK2nS0k0EmH57hkVwPFnE6u3ZXFRebYvaSrIqFRLrH1iqM8HX9w6z%2FebzguqCxPTIfk%2B8bn7EWCNFs47sZFBzcv1mORZ4PK%2By8WweqH0%2FRWlpNsa%2BwC2PJ5dNEzuMYZ9ngn3DT%2BqVE7yuv1pX1fVntE1d8aQstYls008dcctZ3q57bRp4DhdU2CmULV06LS0mU5tqR6nUCaxExddNp2CMOLQP06FBVovty2KljVCAK%2BwXXNQ%2BAwgwI2%2FD%2FS2Rk3L7i5850kfEpkH9mPIB7FFASvsut1Gatb5WR%2BIg1vjCx9OrzWqv0PVL3ZeaFF63GxJLlmrR%2FyXKrhfHb33b27a%2BH0wotDUIwNGIBIdbhX6RInQh00got9D6imTOUyt2qz%2FdB9733NHfCZhHJscIXSfbcqbgJWijn9eRF5Oq3w44ho2AViAAFxVs8q%2FxY7NgS%2FxUrhMWMBP16cE7SYvZO3ZLvItfQ2hoBb%2FT%2BXTiFVzmkQSpjoDV0In%2BYOzfDYRuI53mGap%2BSJ%2B4VFln2l%2F%2FfN7%2Bthu3vd0aU7o%2BTkLBjLAnMy7%2F3Ug1RsinguMzPwhiLPPEjZIqV87dO%2BIDV%2BLHmk7dMlccCEi%2FyCZ%2B%2BXxxruaKXJLscBVm9sfBDfLwtl8lpgIQovNdo2q6v7gYovSCA5C6Zaztt68jSqnoPXcyfDdqmF1xI29PCSxEu%2F27xT5wXe0NP%2FEtCvsWPvTYtbw4nHE%2BGC73zdbSbG6Dq4Gh1a2ZUzucv%2BoqVrUMGw75E07MWJgo1Fq%2FHApFJ7TWL05nTh6nZAQtispX5T9ZdnnC1bzZu8cO4BITksF2r9%2FIdl2lWUxHlNX4AHEJk1pO7bRZauuUlpgnzIpsEmT7cr1NSugzmdZ1r5Ca%2FLznRTO%2B83w2Dq%2BmpXA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fmax-bid-item-factor%2B23928%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fpads-score-mla%2B17263%2Cmclics%2Flax-top-domain%2B23443&rb=x
Cel. Samsung J2 Prime Tv Usado +brindes Leia A Descrição Jds,Samsung,,475.0,,https://produto.mercadolivre.com.br/MLB-4376441482-cel-samsung-j2-prime-tv-usado-brindes-leia-a-descrico-jds-_JM?hide_psmb=true#promotion_type=TODAY_PROMOTION&deal_print_id=2bace159-abc2-4b4f-9a6b-bf16d6db6f41&position=18&search_layout=grid&type=item&tracking_id=7154e672-f618-47b6-aa8e-ce46994dc123&deal_print_id=5061aa91-16b0-474b-868f-bd4ff89ec219&promotion_type=TODAY_PROMOTION
