Nome,Preço Original,Preço com Desconto,Percentual de Desconto
Apple iPhone 12 (128 GB)  - Branco - Distribuidor Autorizado,3449.0,3999.0,-15.946651203247317
Apple iPhone 12 (128 GB) - Preto - Distribuidor autorizado,3449.0,3999.0,-15.946651203247317
Apple iPhone 12 (64 GB) - Branco - Distribuidor autorizado,3199.0,3599.0,-12.503907471084712
Apple iPhone 12 (64 GB) - Preto - Distribuidor Autorizado,3199.0,3599.0,-12.503907471084712
Apple iPhone 13 (128 GB) - Rosa - Distribuidor Autorizado,3899.0,7599.0,-94.89612721210567
Apple iPhone 13 (256 GB) - Azul,5079.0,5599.0,-10.238235873203386
Apple iPhone 13 (256 GB) - Estelar,5079.0,5599.0,-10.238235873203386
Apple iPhone 13 (256 GB) - Estelar - Distribuidor Autorizado,4499.0,5499.0,-22.22716159146477
Apple iPhone 13 (256 GB) - Meia-noite - Distribuidor Autorizado,4499.0,5499.0,-22.22716159146477
Apple iPhone 14 (128 GB) - Estelar - Distribuidor autorizado,4399.0,5499.0,-25.005683109797683
Apple iPhone 14 (256 GB) - Estelar - Distribuidor autorizado,5349.0,9604.08,-79.54907459338195
Apple iPhone 14 (256 Gb) - Meia noite - Distribuidor Autorizado,5349.0,7422.48,-38.76388109927088
Apple iPhone 14 Plus (128 GB) - Meia-noite - Distribuidor autorizado,4699.0,5699.0,-21.281123643328367
Apple iPhone 14 Plus (256 GB) - (PRODUCT)RED,5959.0,6499.0,-9.06192314146669
Apple iPhone 14 Plus (256 GB) - (PRODUCT)RED - Distribuidor autorizado,5959.0,6499.0,-9.06192314146669
Apple iPhone 15 (128 GB) - Amarelo,5387.0,7299.0,-35.492853165026915
Apple iPhone 15 (256 GB) - Verde - Distribuidor autorizado,6399.0,11440.4,-78.78418502891076
Apple iPhone 15 (512 GB) - Amarelo - Distribuidor autorizado,7399.0,9599.0,-29.733747803757264
Apple iPhone 15 (512 GB) - Azul - Distribuidor autorizado,7399.0,13559.28,-83.25827814569537
Apple iPhone 15 (512 GB) - Preto - Distribuidor Autorizado,7399.0,9599.0,-29.733747803757264
Apple iPhone 15 (512 GB) - Rosa,7559.0,8999.0,-19.050138907262866
Apple iPhone 15 (512 GB) - Rosa - Distribuidor autorizado,7399.0,9599.0,-29.733747803757264
Apple iPhone 15 (512 GB) - Verde - Distribuidor autorizado,7399.0,13559.28,-83.25827814569537
Apple iPhone 15 Plus (256 GB) - Azul - Distribuidor autorizado,7880.0,11896.36,-50.96903553299493
Apple iPhone 15 Plus (256 GB) - Verde - Distribuidor autorizado,7880.0,11896.36,-50.96903553299493
Apple iPhone 15 Pro (512 GB) - Titânio Preto - Distribuidor autorizado,9999.0,11599.0,-16.001600160016004
Apple iPhone 15 Pro Max (1 TB) - Titânio Azul - Distribuidor Autorizado,11699.0,18302.86,-56.44807248482777
Apple iPhone 15 Pro Max (1 TB) - Titânio Preto - Distribuidor autorizado,11699.0,18302.86,-56.44807248482777
Apple iPhone 15 Pro Max (256 GB) - Titânio Azul,9099.0,14380.52,-58.04505989669195
Apple iPhone 15 Pro Max (512 GB) - Titânio Azul - Distribuidor Autorizado,10399.0,16341.68,-57.146648716222714
"Celular Samsung Galaxy A35 5g, Câmera Tripla Até 50mp, Tela 6.6 , 128gb - Azul Escuro",1649.0,2280.72,-38.309278350515456
Motorola Moto G34 5G 128 GB Preto 4 GB,989.0,1169.0,-18.200202224469162
Motorola Moto G34 5G Dual Sim 128 GB Preto 4 GB RAM,959.0,1099.0,-14.5985401459854
Motorola Moto G54 5G 128GB Grafite 4GB RAM,1099.0,1615.0,-46.95177434030937
Samsung Galaxy A24 128 GB verde-claro 4 GB RAM,1399.0,1499.0,-7.147962830593281
Samsung Galaxy A35 5G 5G Dual SIM 128 GB Azul-claro 6 GB RAM,1649.0,2280.72,-38.309278350515456
Samsung Galaxy A55 5G Dual SIM 256 GB 8 GB RAM cor Rosa,2449.0,3025.14,-23.52552062066149
"Samsung Galaxy M34 5G 128GB 6GB RAM Mega Bateria 6000mAh Câmera Tripla 50MP+8+2 OctaCore 6.5"" 120Hz - Azul Marinho",1134.0,1299.0,-14.550264550264549
Samsung Galaxy S23 Ultra 5G 256 GB lavender 12 GB RAM,4848.0,5554.0,-14.562706270627062
"Smartphone Samsung Galaxy M34 5g, 128gb, 6gb, Tela 6.5 Cor Azul",1134.0,1299.0,-14.550264550264549
"Smartphone Samsung Galaxy M34 5g, 128gb, 6gb, Tela 6.5 Cor Prata",1134.0,1299.0,-14.550264550264549
iPhone 14 Plus (128 GB) - Estelar Apple - Distribuidor autorizado,4699.0,5699.0,-21.281123643328367
